,Port,Country/ Region,Region,Location,Year,thousand TEUs
0,Shanghai,China,East Asia,Yangtze Delta,2022,"47,303"
1,Singapore,Singapore,Southeast Asia,Singapore Strait,2022,"37,289"
2,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2022,"33,351"
3,Shenzhen,China,East Asia,Pearl River Delta,2022,"30,036"
4,Qingdao,China,East Asia,Yellow Sea,2022,"25,670"
5,Guangzhou,China,East Asia,Pearl River Delta,2022,"24,857"
6,Busan,South Korea,East Asia,Korean Strait,2022,"22,078"
7,Tianjin,China,East Asia,Yellow Sea,2022,"21,021"
8,Los Angeles / Long Beach,United States,North America,West Coast,2022,"19,044"
9,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2022,"16,685"
10,Shanghai,China,East Asia,Yangtze Delta,2021,"47,030"
11,Singapore,Singapore,Southeast Asia,Singapore Strait,2021,"37,470"
12,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2021,"31,070"
13,Shenzhen,China,East Asia,Pearl River Delta,2021,"28,768"
14,Qingdao,China,East Asia,Yellow Sea,2021,"23,710"
15,Guangzhou,China,East Asia,Pearl River Delta,2021,"24,180"
16,Busan,South Korea,East Asia,Korean Strait,2021,"22,706"
17,Tianjin,China,East Asia,Yellow Sea,2021,"20,269"
18,Los Angeles / Long Beach,United States,North America,West Coast,2021,"20,061"
19,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2021,"17,798"
20,Shanghai,China,East Asia,Yangtze Delta,2020,"43,500"
21,Singapore,Singapore,Southeast Asia,Singapore Strait,2020,"36,600"
22,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2020,"28,720"
23,Shenzhen,China,East Asia,Pearl River Delta,2020,"26,550"
24,Qingdao,China,East Asia,Yellow Sea,2020,"22,000"
25,Guangzhou,China,East Asia,Pearl River Delta,2020,"23,190"
26,Busan,South Korea,East Asia,Korean Strait,2020,"21,590"
27,Tianjin,China,East Asia,Yellow Sea,2020,"18,350"
28,Los Angeles / Long Beach,United States,North America,West Coast,2020,"17,327"
